,chapter
242,thursday morning dawned fair sunny traces storm swept streets skies crisply day set jessie funeral grand parlor home dead girl lay like white casket banked rarest flowers whose pervaded whole newspapers 1512a fifth daughter verna relatives family respectfully invited toattend funeral services family thursday columns newspaper longer paragraphs given noon wedding young frank society belle miss cora church wedding floral decorations lately arrived simply prospective bride intertwined duly printed benefit admiring hour noon drew house filled whose ears floated rumors sad long grief stolen saw darling dalrymple mother never name wept sympathy bereaved lovely treasure cruelly wrested beautiful episcopal service farewell white casket borne carriages filled mother solemn moved away vault opened receive another scion old van fairest fair time block bridal leaving van dorn mansion death jostling almost side carriage sat van brilliant beauty enhanced snowy joy flashed eyes thought soon bride man best man meet recovered sufficiently sprain without sunshine brilliant day processions met bridal train funeral rival eyes riveted florid color faded ashen pallor shrank back evil omen meet corpse way give way van dorn also grew pale though jessie thought meet funeral way yet fancy cora fortunate meet rival though frank laurier treated poor girl secret remorse gnawing knows might turned frank laurier strange past result keen love cora encounter dead girl feel wish wedding well safely tied hope sure meet
243,throwing back heavy veil gasped dreamed seeing frank laurier van dorn vault hour wedding stood handsome head bowed face eyes heavy happy bridal startled moved whispering stay shall time meet cora heart aches cruel let love dear bishop beginning last sad come away leave sweet dead whose brief life sad ending cruel fare thee sweet friend sightby dark givest back word leave thee violets truth perfect bid fond accompanied best ernest returned outside cemetery limits ordered coachman fast possible old trinity meet bridal thought attendance funeral hour strange freak part yet gravity sadness face swiftly along toward clew tried dismiss watch due trinity shocking slight bride easily astonished laurier made sitting pale seemingly indifferent seat shrugged called fast already horse urged higher rate commotion inquired putting head burly arrest fast grunted guardian good must detain necessary drive fast order reach old trinity wedding three must come station answered surly suddenly aroused united policeman hear letting said young bloods credit wedding party waiting suddenly realizing thinking mortification wait grew whispered use offer bribe let malicious indicted trying discharge turned stubborn asking take names let report police may station obliged arrest take longer parley time jump driver lose whispered cut run slipped unperceived either crowd collected policeman caught snickering drove turned red head curiously sight shouted springing hot chase sympathies spectators handsome young poor policeman outdistanced agile gave minute turning corner frank laurier collided bicycle went like cried ernest stopping short horror shattered prostrate sustained rider directly declared right save frank lay like dead handsome face upturned eyes side showing struck efforts revive called declared case concussion patient must removed bellevue ernest noel moment policeman trotted scene bewildered instant fierce resentment breast exclaiming cause like throttle indignant officer raised club brought cranium young man telling effect quite fell easy victim ambulance station poor equally taken bellevue ending day anticipated months true instead wedding bells slow procession festal alone among suspect identity young millionaire terribly perhaps unto strange sad picture depths pain waiting hour fashionable church laggard never sent left suffer cruelest blows heart taken home vowing bitterest vengeance recreant lover stripped bridal veil queenly angrily beneath trample love bore cried van eyes filled sympathetic tears cruel dear rash something happened prevent coming everything explained consoling words rang hollow presentiment way felt fail meet cora cruel wound poor girl disgrace cling jilted much kinder break sooner avoid public like feel almost indignant cora slight put husband looked saying poor something tell laurier may come cried turning upon anything happened say met told saw laurier noel greenwood funeral services daughter concluded bridal wicked may curse forsaken bride blight may cruelest misfortunes life raved insulted girl madness wounded love shall avenge slight cousin received summons ernest pale bail come bring news prevent laurier meeting bride hospital point
244,laurier noel taken man whose cause calamity stood alone among gazing somewhat ruefully ruin gentleman approaching middle blue eyes sad looked sadder side another put young give turning broken wheel fate reporter approached like report evening john stranger returned away interlocutor disappearing side stopped presently glass wine settle mind unconscious face lay upturned winter sunlight give know dashed tilt turned feel way shall bellevue inquire financial aid scarcely young fellows expensively dressed elegant social noon reception mysterious part affair streets pursued finished tipped obsequious took reading room blue wreaths smoke curled fair head exposing spirited ran unlucky devil fates stretched dead sidewalk instead youth doubtless much life live wanderer face false owe ever forgive heartless heavy frown came brows return years exile sister children precious daughter lost wicked week vainly trace since death find trace save item accidentally read world accident hospital give clew buried must direst cruel fate must dear little wronged taking revenge fared better god find sweet make devotion world never head sank fire cigar went lifted head start sound must find moping like took newspaper looked pretending column deaths came almost mechanically first funeral 1512a fifth daughter verna relatives family respectfully invited toattend funeral services family thursday words breathed low faintly suddenly paper shook nervous grasp eyes stared sort incredulous horror printed words moved flew like lightning cannot possible ever recovered kindly folk poor deathbed told gentle dark eyes mother clung bidding mark adopted child place lost child taken remained silently musing eyes death notice printed word seemed photographed strange name rest stood keep sweet little strange never guessed known might must patient tender restlessness little coming must held hearts terribly leon dalrymple bowed fair head waves memory swept across
245,lonely life much brooding inclines mind strange thoughts dwelt persistently dead adopted daughter felt almost jealous curiosity wondering usurped love belonged jessie well place like look upon repeated desire grew last bold early autumn twilight found whispering ear feeble old sexton recoiled surprise much place clink gold made change give look dead even discovered repeated redoubled cupidity old man made falter result entered vault darkness night sexton carrying dark whose glare bank flowers surrounded rare odors noisome odors dead silent earth cold living weep sighover dust advanced toward suddenly recoiled sounded like stifled exclaimed wind exclaimed old wrenching loose lid gusts rich fragrance covering moment casket dalrymple advancing heartthrob gaze silent startling old vault dark rows center bier banked casket dead living gazed bated breath exquisite second low pair opened gazed startled enough shake nerves strongest see suddenly come old sexton suffered years organic disease shock weak heart face changed ashen old eyes dilated shook like leaf knees knocked awful sank senseless heap took heed old attention girl struggling back life place among strange face gazed years ago kissed childish face lineaments like placed tender jessie train loving always brought heartless deserted rather make husband leave send ample money heaven alone shall ever return land suffered shipwreck twelve long years ago wreaked revenge heartless goaded ceaseless wrongs turned native land became lonely eye weep congenial heartwhere may claim smallest music always love become cupid turned back old drifting found years made meager living spare america came long illness swallowed almost year life strange illness baffled declaring melancholy others loss agreeing must long brooding something become almost whirlwind followed upon brain beat thoughts knows many month lay ere memory floated strength slowly returned glimmerings clever wisest physician said strangely wisest among next door studied keen learn lonely man brooding right suspecting sorrow hidden dalrymple bend curly head silent knew said wise added brooding ill cannot forgetfulness panacea hopeless tell give greatest bard world written music thus ministers cast aside totally different strong say exhausting dulls wearies ills brooding try australian rich patient took years toil body mind permitted dwell yearning memory aghast counted twelve years since come must home little kissed child gone found lying among funeral flowers white breath life faintly heaving dark tender transport knew glance dazed frightened came suddenly recovered consciousness fully buried alive shock might great closed eyes tired lifted white satin bearing wrapped dark
246,rapid thoughts revolving take far away new precious shall never know lying old vault proud van rest shall belong plebian father mother remembered old sexton floor purchase laying quiet dry grass returned gave shock find old man quite began perceive sudden death help old sorry makes secret lay lantern vault keys found morning suspect happened lifted old man bore distance placing beside lantern keys fallen dead rest bending form inner coat pocket sum money sufficient burial knows may left widow orphans found turned returning lay yet fully safely away awakes realizes fastening long around conceal white robes bore beautiful past glimmering statues marking repose mossy marbles reston lips pressedin names loved hearhave carved many yearon safely ventured call explaining looked suspiciously strange fainted street way drive streets give wishing gain time carry jessie garb condition upon suspicion unwilling racked endeavor decide extremity thought woman lyndons told death bereaved family distant part city lost track woman widowed lived alone cottage safest refuge find kindly soul went received tell actual satisfied plausible soon jessie disrobed placed comfortable though woman dearly loved jessie always called endearing light recognition shone morning found really needed fall perhaps injured said man clever treatment case within three days light reason returned fact fall pavement striking head seriously injured jessie drug induced deep like dalrymple watched bedside passionate last something live beautiful lay ill without recognized around provided widow doyle full purse sent buy away daughter large trunkful good clothing suitable young lady gaudy fine best doyle woman excellent fitted jessie clothing best well sit away hours convalescence new day came opened wide beautiful eyes reason shining saw sitting bed subtle fascination whispered turned took never heard absent dear little kiss held sweet face passively gave murmuring dark frown gloomed brow retorted never speak dead
247,dark eyes turned face shook like eyes cried sweet dream mother thrills let tell dark eyes pleading voice pierced heart like god given subtle likeness mother like thorn answer tumultuous strange seemed felt sorrow life cruel glad seemed come stand mother never known till hour saw rich death seemed knelt kissed called tears rained cruel fate parted restored tell beautiful listened surprise said hoped might prove dream sweet faltered tears disappointment starting eyes secret longing know strange events supposed bear see yearning mother know change instinct say think murmured believing must true recall another dream aught strange dream voice fatally dear heart words love vowing fealty love dearest heart full place spare frank young red young mouth young give leaf shut inside cold remember lovely dream pressed lips kissed rose crushed aught trifled changed lay tears brimmed eyes foolish dwelling dreamed people care naught dalrymple took hand looked tender dear little feel well enough back cruel asked assented evasions deemed gave brief shall tell name leon lyndon said born mother deserted disgust suspect guessed tender became joy life hated deprived half mad troubles contrived often unsuspected baby beauty sweetness grew upon last gloating thought punish cruelty took sweet sister became exile native twelve years long length drew back new searched vainly week chanced found lying like dead answering came anxious hear surprise burst sobbing unrestrainedly waited stroking fair head tenderly till ceased little drew young life piteous little love secret lay tears near kissed young soon rash try throw away life glad found extremity else life must paid forfeit desperate said determining mind never know happened night snow thought life murmured scornful miss laugh times broken tears came burning glad see knew relieve pain wounded love grew quiet said must forget forget take away new shall never meet hearts like like throbbed divine knew well ask soul nothing world thento take away divine love evermore sorrow love must buried jewel seeketh yet spirit haunts idle doth heart sadness ever fading wreath keeps hope
248,people mind certain subjects apt recall chose call left new york within strangely recovered new pursuits sought oblivion painful become rich gold spared restless mood enjoyed travel spent six months wandering native beauties unsurpassed country crossed ocean resumed migratory six months spent weariness fell longed father decided settle germany year cultivate already discovered delight inherited talent together voice rare power best teachers money quiet months polishing father became passionately attached finding affection balm past lyndon kept daughter fact found story accident prevented marriage frank laurier appointed read next papers story long wait mysterious bridegroom mortification solution mystery accident nearly costing stated lingering life death concussion lyndon immediately comprehended cause running laurier though felt keen remorse regret part although owed victim seeing grief brought upon facts lyndon thought prudent conceal marriage take place soon condition bridegroom name tacitly dropped left new york remained matters quite different new york either jessie remained several days recovering consciousness slightly recognize friends permitted visit dearest ernest often quite week latter dared answer questions put sick full consciousness cruel truth came upon interrupted dawned hollow groan burst turned eyes read pained questioning thinking cora cruel ordeal interrupted nine noel said laurier pleaded worlds betrayed whispers heard fury lover cruel wedding day away bride without wrath hated whole felt plunged knife heart man made sensation glossed fact lightly ellyson naturally cruelly believing beautiful indeed cruel died spare quite sure everything went told everything fell explained newspapers next every untoward accident prevented take place soon cora exonerates keeping back speak rather vexed attending miss really caused upset never intended cora know went may sure tell thought strange dunce saw blurted told miss moments laurier remained dead girl living unto gave long sigh chivalrous cruelly must suffered terrible must make soon please married loving time true union stop silly interrupted proof tenderness condone offense showing respect dalrymple slight touch bitterness last words noel brusque many girls care married sick bed brilliant cora loves ask willing marry start wedding tour soon tired long dozed interval time way till wakened last start light touch saw grant old
249,cora ellyson refused noel gauged quite correctly asserting unwilling married without pomp ceremony feminine though pained heart first cause argued gone funeral forced haste resulted disastrously caused cruel heard anything funeral wedding eve cried passion jealous hating poor sympathy shown thoughts taken proud bride claimed love cora longed punish lover consider already suffered punishment come chosen told fire love fiercely day park cooled even believed quarrels flirted others made expected things punished enough refusal marry sick bed stroke secretly pleased cruel pain realize value even declined visit lay ill hospital nerves bear well soon wedding gown gay message sent van dalrymple went call sight bereaved mother deep put thought jessie never since tragic received apparent long days thought yearning ceaseless kept wandering dead living memory first time seen startled girlish struggle doyle rude drive laurier recalled clinging kiss taken flowerlike heart beat wildly warm color flush garbled story glass wine much told excusing quite taken bewildering emotion throbbed made yield temptation press sweet lips true influence cora remained strong soon turned girl watch passing throngs might note jealous flash great eyes apparent suffering effects exposed tender witcheries easy win events jessie come coupled heartless impressed ineffaceably inspired pity deep akin jessie dead laurier knew loved ever loved jealous looked sort scolded sent whistled jessie bidden tenderness fealty belonged matter gave jessie tender regrets days must married cora pledged irrevocably devotion new influences work sunder widely hearts already chilled jealousy always admired beautiful cora brought intimate relations gone young averse little flirtation relieve tedium waiting smilingly encouraged frank became customary thing call every evening progress road recovery fair secret made calls morning enthusiastic description cora looked acted messages sent arousing thus increasing fervor though secretly burning anxiety see visit rooted determination pay called capable savage fury indulging fierce resentment running little insight feel startled detected latent transfer affections
250,december snows lay deep upon ground laurier left weeks fateful accident postponed first visit punished deemed see fond arms twined dark head nestled dewy red lips upturned meet pressed remembered warm sweet pale cold rosy lipsthat kissed closed aye sparkling glancethat dwelt moldering silent dustthe heart loved within careshall live highland punishment sin jessie haunt pale wraith glide living make lips cold kiss heart chill blood run like fire arms dark head strangely deep depression hung though hide dark outdo pale ill kiss vexed consent better wait display lovely bridal forcing ill must hope come see told looking ill heart lest scold everything let bring subject kept cried married married arrangements made maid honor south choose made promise wait think choose girl agony cora ellyson almost transfixed flash dark realizing made beg mean wound impatient agony waiting thought impossible look echoed bottom heart terribly distressed find cruel truth part true lover amiable caprice love come love ruined quarters recognizewhere shrouded pictures past gently turn forgiving eyesif love come charmed belief anxiety absence taught pretended coyness naming another wedding day plead expected continued named day weeks shall home wedding bear knew horrible wish turned back next cruel curious sinking believing jilted feel never forgive humiliation cried passionate took burning hands kissed make patient gazed brilliant face charmed told surely old love come back soon lingering remorse jessie fade help loving beautiful even spite cruel depths try forget acted hapless little rival love spite knew scores men envied prize won even ernest best scarcely fact fallen victim surprised meet steps call become daily
251,young men nodded gayly ernest noel passed radiant exclaimed red lips parted pearly teeth enchanting smile naming wedding day knew well announcement pierce heart like yesterday ernest proved unfaithful pleaded cora laughed passionate enraging led encouraged love hope knew engaged frank pretend indifference refused marry heard angry wedding day vowed vengeance recreant deny right question shall marry frank imperious coquetting pass kind wicked try steal cried playing turned went strange smile glooming strong wore careless flinch told triumphantly named wedding day soon lost must steal every hour fortunate fatal crust snow sleigh come answered wrapped followed natty careless happiness gloomy day lowering little dreaming tucked warm robes cozily took spanking gliding gayly smooth crust found leaving crowded city talked noel slackened really love laurier marry week ago sworn care bitter sworn heart turned egregious cried laughing laugh almost drove striking fiery horse whip dashed quickly forward almost come eyes ground white teeth together hate want murder face grew looked around want murder barrier cannot lawful turn back snow beginning heeding ernest noel drove replying telling remember theatricals took part last week benefit lawful made private arrangements license wife fast make
252,cora ellyson sat speechless side ernest noel sleigh rushed whirling face white lips flashed dangerous anger startled desperate dark gleam murderous hate deep hate great choking remained though writhing despair deep utterance possessed wedded tricked ceremony bound cut believe really lied true say claim give let make arm around waist drew forcibly hot kisses shrinking shrieks unfrequented darkness together whirling made everything frenzy rage possessed wretched said murder came struggled wildly flung hand silken braids pierced strong silver dagger jeweled withdrawing made lunge stifled oath warded first catching dagger hand pierced fountain withdrawing shrilled agony lips arm dropped hands sank inert mass next moment black frightened bit teeth running crouched seat image inevitable frozen whirling ran obstruction came little sleigh throwing drifted breathless moment cora scrambled feet companion wild senseless heap blood staining bosom wounded ernest noel lay like dead killed girl muttered terrible felt remorse fierce deserved casting glance hurriedly see witness alone stormiest shrieking rising blowing snow across twisting bare boughs piled high rough stones old lime quarry close side lonely scene desperate girl stood burning rage precluded hide snowdrifts cover sight glance fell lighted throw strength born dragged inert body pushed fell hollow thud made panting listening fly back black seemingly subdued wild race every despite biting stood pleasure nervously returned caught inclement drive voice struck sending terror heart lest arisen grave deserted drive miss calling boldly start saw man striding seen bold face carey came faltered answered cutting across fields visiting country friends mine saw hastened man miss surely frank heart sank wild alarm answered pit thinking terrible overset saw dragging man doyle returned realized began sob sweet sake betray killed sleigh know thought drive home dead tell blood hands done carey doyle mistreated wounded fall killed cannot bear sensation make rich keep terrible kneeling abjectly snow glorying discovery put power bad man cora put dead man back sleigh driven back full confession surely jury murder heard goaded cruel terrible agree insane fear poor brain distraught think horrible lest deed become fall knelt cold snow biting wind cutting blowing loosened hair small betray bear keep wretched eyes gleamed cupidity think mind thousand shall lips let drive must manage horse sleigh returned stables without exciting confide help galled pride take said ernest fell love tried supplant drive took liberty kissing defending gave fatal helped took afterward returning sleigh stables way diverted
253,weeks rolled around quickly brought wedding somewhat different month home wedding van cora chosen another maid first absent also select another friend best noel mysteriously seen since afternoon taken miss currently believed young man lent color report frankly owning noel sought win madness threatened take told glibly long sleigh snowstorm lost returning grew pale grave told noel pleaded passionate angry grown treachery fair love replied turned ear pleadings turn back storm shall drive perdition take pity vowed fright tears moved bring back hand close clasped cora repeated angry poor yet pitied tragically shall never forget saw left face pale glared wildly electric lights took hand kissed murmuring never see cannot bear life without shall end hear death may thought prove thorn roses voice sank sobbing cadence looked wild enough rash believe thought trying frighten said good night ran almost scared half distressing fear really carried nothing heard relatives said almost wishing heart cora taken pity accepted knew well coquetted young man led seen along lay tax think women break hearts following reproachful face seemed lips kissed whim reproach without fault days passed quickly tidings december wedding joy looked forward day beautiful cora loved madly little efforts bring back passion cold heart stone decided south bridal ocean several novelty everything readiness journey soon reception look forward indifferently journey stately bride whose sake envied dead small white barring almost seemed god dream know soul sorely shakenlest evil step dead forsakenmay happy listen haunting voices throbbing prepared keep troth praying yet come back forsaken nest beautiful beaming joyous ready smiling maid pinned thinking bar happiness waiting everything miss magnificent may let see cried exultant ready downstairs back long pier glass another admiring view glory white brocade train stepped door called van dorn others crossed piercing horrible sight met stepping back better view cora cluster wax lights burning silver dressing instant flames caught filmy veil ignited wrapping quickly leaping flames many writhing tragic interruption splendid mansion gayly decorated scene dismay shrieks frightened women upstairs brought bridegroom rushing frank laurier presence mind tear burning garments cost painful injuries scarcely gave thought keen pity wreck five minutes ago heart full love pride handsome injuries severe swollen quite bridal gown reduced vestige left costly long weeks hovered life ever best friends thought might die live radiant beauty eyebrows lashes burned skin scarred dark eyes long weeks began convalesce surprise people said ought release frank laurier man willing marry cora sent word lover marry soon quite well consulted eminent physicians dermatologists city restoration wild anguish declared sacrifice whole fortune regain lost terrible put hands promised process must give world ere success crown agreed see lover lost beauty
254,among passengers steamer homeward bound england man daughter attracted much man leon returning nearly absence new serious rather repelled preferring beautiful turn gave provoking young simply wild dainty tempt flirtations balmy september evenings sea shone like silver moon rode gleaming majesty pathless blue father monopolize around chair books read together evenings strumming mandolin warbled songs voice sweet winds waves seemed rife concerning attractive three days bowing acquaintance time young man confined days made appearance less person frank abroad returning summons almost years since terrible accident since first gaze restoration health beauty consumed many though entreated see request always heart ached sight face touch dared risk shock must experienced sight marred believing love ceased feared weakness anxious place entreated abroad remain summoned glad might meet part absent almost year corresponded suddenly received letter well beautiful must heart breaking see heart touched faithful way neglected often almost forgetting existence stolen made wish secret happen break irksome bond fettered changed man hesitated ceased claimed freedom pitied cora sincerely wound cruel whisper shall break thou deceive shall well thee end believing home marry make happy matter even heart cold least living must evening came young men come listen sweet voice singing voice girl lovely cruel papa permit wish storm citadel laughed forget home replied little flirtation beforehand need beg young love sacred deck listen adore try make young silvery moonlight balmy september evening went sitting man lightly strings side stood classically gowned girl simple robe falling straight lovely face crowned lifted sky sang notes liquid night nightingale woke night sang golden moonlightfrom wooded opened window looked dreaming singing think dream tears blinding hear low breath lime wind floating think forget though see around methe flowers slumber stars heaven laurier stood looking listening sweet tender verge pain stabbed uplifted face sad seemed strike mournful chord memory like never heard song surely never seen else never said made think love grown stranger though sweet song rested without observing rapt sweet voice rose following chords trees togetherthey wandered hand summer love hearts sun shone went voices sweetly sang old love leave precious heart bound never say trees togetherthey went along autumn heart turned wold air came mists rose dull like mocking heard heatherthey way wintry hear air love mostupon fancy better loved lostthan loved sweet voice inexpressibly laurier felt lump rise throat moisture longed clasp singer arms soothe tender
255,sweet voice died away lingering echoes ceased plaintive jessie sat leaned head shoulder listeners stole leaving laurier seat gazing absently moonlit waters tone seemed echo love leave sat suddenly staggered come face voice familiar awakened subtle pain blent exquisite face like lying long voice whose reproachful tones pierced heart like avenging brought back irrevocable might jessie dalrymple chance began wonder names father friends came back side whispered say names astounded young man answered name calls daughter laurier started cried wretched sickness coming lay wakeful wretched tortured name thinking surely must related close wishing know sake next spite bad deck make acquaintance new heroine shipboard three days without name important fellow father discovered early communicated recognize comes addresses perfect forgetfulness may sure lightning gleam pride dark swift rush color round moment later almost accompany laurier saw broad glare daylight perceived likeness dead jessie lyndon startling even seemed last might jessie additional charm eighteen sixteen added years advantages rich becoming passed close lounged chair swept like veriest color cheek admiring quite useless seek chill reserve refused saying lyndons offish care know day laurier haunted scarcely take luring face eyes steadily simply forgot kept wishing feverishly something happen make fascinating terribly wild wishes answered dream good evil fate soon grant sang deck laurier retired toss dream dark hour comes dawn leaping flame shot steamer irradiating gloom voices rang upon
256,horrors attended burning atlanta september night none clearly even sudden terrible onset wild ferocity almost every fought forgetting honor chivalry mad rush first moment evident ship gained headway discovered dread rang horror anguished voices blending sullen roar old deadly enemies eager wind wave fire rose ordering struggle intensified anguished shrieks women screaming boats room freight human struggle supremacy young strong old fighting place cruelty selfishness exist beneath chivalrous captain first mate insisted women children given men take voices drowned clamorous traitors scrambled crowding till almost sank heavy awful glare light illuminated sea sky leon lyndon leaned deck rail praying selfish wretches take save though must lurid scene smoke flame face shone clear clasped entreating let separated love poor jessie lonely wide world without cannot let die white already anguish grew lurid light glared though plaint went close though last cried cruel pass growing much life times tempted end since found made fain live cannot even selfish men give place left moment part last words dying clasped fair arms raised lovely cannot send time man lingering near catch drowned crackling blent wild cries lyndon bent convulsed face pressed murmured alone world said made believe selfish fire roared crackled beasts ladder man close watched father make effort save
257,leon lyndon knew time last words must escape new york sent last tell last hour leon heart first hour saw beautiful tell pardon impatient temper cruel pride heart though looked back day went seen arms extended take knees beg past vengeful anger deprived loved thrust strained voice broke agony hid face anguish eighteen years crowding horror cruel years hopeless mad unutterable despair crowded known wastes lost love must crossthe wastes unlit known seas salt tears tossbetween barren known wide westthe sun sank gold whispered like warmth light known borne muchfor sake sweet mere despair cold look touchmust cruel known longing perhaps lainreconciled ending death stared longed best friend fear beautiful angel waits portals kiss away struggling gentle hands close lyndon tie bind knew must parted drew close followed impatiently renewed prayers men crowding last sight touch coldest heart anger see many men crowded boats women children husbands fathers force way deck score women preparing cast sea life last boat woman putting loud voice cried crowd another shall take send selfish souls threat lightly rowers angry faces ladder man assisting beautiful young frank laurier broken unheeded crying hear give force take spring sea overset catching astonished girl moment admitted made insured placing swooning form grumbling crew yet dared refuse rowed quickly away reach storm captain men remained deck working away hoped escape remaining looked back leon dalrymple may call never cried though laurier catch sent worldly secured around cling boat remove leave matter becomes next instant sprang deck rail light lurid swam vanishing propose share spar doubtless crazed try help cannot swim long thought springing sea moment first gray light dawn shone joy scores raft quickly passengers escaping gladly burning ship firebrands raft hastily constructed began give instant destruction trusted moment empty lifeboat observed floating near comprehended first overcrowded somehow overturned cast time bemoan new glad save imperiled women
258,sea unusually calm smooth skillful make good headway swimming lightly strongly looked anxiously hoping surprise dismay sign seen fair man took almost painful interest sake straining gaze wandered illuminated glare burning ship pained nothing seen floating swirling black gloom gray heart sank pain sympathy thinking life gone depths fair daughter left among selfish wretches received feared trust become obeying blind impulse boat observed slackened speed heavy sunk hoped expected following know full made room wide waste waters nothing spar chances strength skill might keep afloat happen end life near enough see commotion though men struggling together fierce much ado keep next moment struggle ended horrible men lifted cast boat sea form woman immediately shrieks horror echoed boat upon morning bent boat shot laurier knew efforts save jessie lyndon fearful overpowered cast unwelcome passenger boat fainting jessie pitied scowled declaring additional cause lose glad save beautiful woman dipping hand tenderly laved pale trying deep leaving certain nerves lay lifeless among heedless alike imprecations exclamations tender men offscourings passengers brutal selfish last ignorant men cried cannot let cast let ill luck carrying dead cried wrangle woman men declaring yet alive kept others rid helpless ended struggle overpowered amid shrieks woman merciful unconscious form protected thrown rowers bent efforts boat leaving frank laurier horrified spectator dastardly deeds ever committed fiends form indeed brought jessie lyndon frank laurier together circumstances awful face scarcely chance hundred escape perilous hope lay frank ability save rise surface deeds valor love fires arm superhuman wild prayer heaven pallid swam quickly spot white form disappeared beneath ere reached saw joy risen floating skirts upheld piece caught become heart gave suffocating throat hot joy sprang eyes redoubled efforts exhausted wild struggle reached floating form white golden locks streaming loose upon clasped beauteous form frenzy feel dearest earth seems slipping away wild recollection face seen lying among funeral flowers shadow old family movement white lips answer wild even dead cast arranging placing spar beneath seeming dead anguished living side away burning ship slowly settling beneath trackless gray light sky eyes gazed beautiful face mute love heart echoed sweet plaint sung love leave precious heart bound never say never spoken word never touched dark yet singing lured heart brought back fancy dead girl vowed never parted dead fair float together side knew longer hope fold arms plunge together sudden commingled blanched blissful lips eyelids dream fancy overwrought faint tinge color crept waxen lips parted strangling cry rapture escaped sound close jessie opened wide eyes dazed look straight upon recognition startled wonder infant looked upon infant waking little little comprehension dawned familiar face read passionate love blue upon recalled wondered thus head upon sunlit seas
259,laurier watched dark eyes widen darken guessed thought mind murmured answered somewhere wide little hollow divine hand able save terrible let hope voice knew well desperate slender thread hope world held dearest sweetest person girl almost stranger yet dear blotted everything earth world naught till comewho beauty voices sing full memory returned found alone sunlit tender feelings heard steamer brought back rush saw night next day night hardly bear felt looking hot blushes burned face lest recognize given unrequited love turned spite help looking rare times looking saw different gravity worn knew something almost chastening debonair smile thrilled heart subtle knew captain sought introduction frightened bare idea anything world came horrible alarm rushed white dressing warm rest father met saw frank laurier lingering quickly turned saying speak little time afterward caught arms ladder swooning soon incredible horror thought made lost world alone wide come curiosity made put aside vow solemn fell wretches left saw swam catching came wondered significant played around dared tell fiends cast sea shock already shattered grief said escaped perils sea come safely tell things ask life saved gladden home higher climbed sun sea brilliancy pained eyes whitecapped breast old living objects far distance smoldering hulk slowly sinking sight burned kept close eyes turned far gleam sail might presage hope began die weary cruel waves hot glare sun almost ready close eyes waste sunlit water green darkness
260,stroke rarest good fortune laurier saved new sensation created passengers discovered water poor raft formed plank boat quickly drawn pity kindness showered men took charge women every contribute dry clothing administer needed strangers alike among passengers several people met london barely knew intimately new satisfied curiosity straightforward recital glad enough warm left rest spent late next came deck fairly suit looked anxiously well enough come sunny lyndon well enough come doctor rest stateroom till hardly wait till see wait come fleet mornings linger sunny smiles touched malicious unrest seem pause truant children sigh really ill fatigue grief rested next retirement enlivened ladies vied every fallen love thought romantic handsome pair laurier cast away together incident end naturally love miss romantic pity miss ellyson added young society matron large eyes inquiring expression moved know never met jessie seeming really know home marry girl engaged jessie answered must tell story quite tire hear answered glad notice married scornful cora wondered listened eagerly vries rattled told happened already vries finished dramatic quick sob weeping tears rise tender wrong unnerve forgive lady jessie moments impossible command stifled bursting murmuring distressing help credit tender dear forget story end happily flood sympathy frank troubles aroused blotting passionate suffered sufferings proud beauty atoned heartlessness ordeal passed pity much hate meet kind laurier kind met next morning came deck pretty gown miss altered fit clever looked though pale went frankly extended much thank saving opportunity made pressing warmly led steamer lingered jealous every admiring glance came blame feasting eyes jessie perfect opening look dark eyes without gaze crimson lips press kiss embrace graceful rounded slenderness eighteen marking wealth wavy golden hair drew eyes irresistible seemed even frank laurier fall love several formidable eligible young men board vied declared beautiful creature ever plainly seen pick mattered shy hovered like bees ladies also charmed forgot lovely laurier jealous dared say young laurier saved life tried knew home marry need flirt miss wondered paid devoid ascribed kindliness sweet gentle telling kind must repulse last days soon parted times help feeling every look chide vain silly thought love showed meaningless attentions pique loved must fall mistake trying curb tempestuous heart beat fast
261,days flew fast eventful journey land new heart secretly grieving lose sight jessie made parting worse jessie gave meeting spite broad hints renewing new said relatives even disclose jessie ill ease thought returning must meet proud must excitement asked frank seemed bear pain seeing sure turn pale thus secret sad unrequited wished wedding done gone away bridal tour entered thought felt excitement length resolved seek former humble friends remain bride gone wedding last night landed beautiful azure dome gemmed countless stars calm moon shed silvery light air soft remained deck till late music beguile laurier betrayed fact tell refuse kind well sing birds love whispered best kind shall break thinking poor papa uncertainty tried cheer hopeful bright father may saved may soon fear presentiment dying friends new give many people known terrible wondered happened began strum softly guitar tremor voice made hung spellbound liquid notes sweet another cried hushed heartstrings stirred divine stopped clamorous low voice murmured song sang father night saw must sung love significant earnestness tone words made heart quickly blood mantled cheek made swept strings sang sweet old kept echoing tender love leave precious bound love ventured ask sing keep last sweet strain turned face starry little little away comprehending preferred left little time enough near gaze lovely moonlit breathe air thinking pensive curve whether dead possible started twinge jealousy tore heart hated another thought came vex life shown disposition continue acquaintance bear lose unutterably dreary without beautiful girl life fade heart leaped suffocating must leaned closer till heads almost started turned face inquiringly toward since first night saw pure face words song echoed daring say love pretend misunderstand gazed continued know seems strange knew loved jessie like might twin perhaps near relative
